MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
120,5,69.30579531442663,5858,2,1,4,1,13,3,4,1,7,5,1999,1999,2,9,9,0,0.0,2,3,3,2,3,4,1,1051.0,3,0.0,354.0,1405.0,1,1337,0,1337,1.0,0.0,2,0,2,2,5,1,1,4,2,1999.0,1,2.0,511.0,3,3,1,203,68,0,0,0,0,0,6,2010,1,1,
160,8,69.30579531442663,1680,1,1,1,1,3,3,5,3,6,5,1971,1971,2,7,7,2,504.0,3,3,2,3,3,4,4,156.0,6,0.0,327.0,483.0,3,483,504,987,0.0,0.0,1,1,2,3,5,1,0,0,6,1971.0,3,1.0,264.0,3,3,1,275,0,0,0,0,0,0,2,2010,5,1,
160,8,69.30579531442663,1680,1,1,1,1,3,3,5,3,5,5,1971,1971,2,7,7,2,492.0,3,3,2,3,3,4,4,300.0,6,0.0,225.0,525.0,3,525,567,1092,0.0,0.0,1,1,3,3,6,1,0,0,6,1997.0,3,1.0,320.0,3,3,1,0,0,0,0,0,0,0,3,2010,1,1,
160,6,69.30579531442663,2280,1,1,4,1,15,3,5,3,6,6,1975,1975,2,11,3,0,0.0,3,3,2,3,3,4,2,514.0,6,0.0,341.0,855.0,3,855,601,1456,0.0,0.0,2,1,3,2,6,1,1,3,2,1975.0,3,2.0,440.0,3,3,1,173,0,0,0,0,0,0,6,2010,1,1,
120,6,69.30579531442663,2280,1,1,4,1,15,3,5,1,7,6,1975,1975,2,11,3,0,0.0,3,3,2,2,3,4,6,0.0,6,0.0,836.0,836.0,1,836,0,836,0.0,0.0,1,0,2,3,4,1,0,0,2,1975.0,3,1.0,308.0,3,3,1,0,30,0,0,0,0,0,6,2010,1,1,
60,6,69.30579531442663,12858,2,1,1,1,16,3,1,3,9,5,2009,2010,2,15,15,5,162.0,1,3,3,1,3,4,6,0.0,6,0.0,1590.0,1590.0,1,1627,707,2334,0.0,0.0,2,1,3,1,10,1,1,2,2,2009.0,1,3.0,751.0,3,3,1,144,133,0,0,0,0,0,1,2010,4,6,
20,6,69.30579531442663,12883,2,1,2,1,16,3,1,1,8,5,2009,2010,2,15,15,5,256.0,2,3,3,2,3,4,6,0.0,6,0.0,1544.0,1544.0,1,1544,0,1544,0.0,0.0,2,0,3,2,7,1,0,0,2,2009.0,2,3.0,868.0,3,3,1,0,35,0,0,0,0,0,6,2010,4,6,
20,6,69.30579531442663,11520,1,1,1,1,16,6,1,1,9,5,2005,2005,4,15,15,2,615.0,2,3,3,1,3,4,1,110.0,6,0.0,1588.0,1698.0,1,1698,0,1698,0.0,0.0,2,0,3,1,7,1,1,2,2,2005.0,1,3.0,730.0,3,3,1,192,74,0,0,0,0,0,6,2010,1,1,
20,6,69.30579531442663,14122,2,1,1,1,16,3,1,1,8,5,2005,2006,4,6,6,2,240.0,2,3,3,1,3,4,1,28.0,6,0.0,1794.0,1822.0,1,1822,0,1822,0.0,0.0,2,0,3,1,8,1,1,2,2,2005.0,2,3.0,678.0,3,3,1,0,119,0,0,0,0,0,2,2010,1,1,
20,6,69.30579531442663,14300,1,3,1,2,16,3,1,1,9,5,2003,2004,4,15,15,2,1095.0,1,3,3,1,3,1,1,1373.0,6,0.0,1473.0,2846.0,1,2696,0,2696,1.0,0.0,2,1,3,1,10,1,2,2,2,2003.0,1,3.0,958.0,3,3,1,220,150,0,0,0,0,0,6,2010,1,1,
60,6,69.30579531442663,13650,1,1,2,1,16,3,1,3,8,5,2002,2002,2,15,15,2,232.0,2,3,3,2,3,1,1,578.0,6,0.0,1093.0,1671.0,1,1687,563,2250,1.0,0.0,2,1,3,2,7,1,1,1,2,2002.0,1,3.0,756.0,3,3,1,238,130,0,0,0,0,0,6,2010,1,1,
120,6,69.30579531442663,7132,2,1,1,1,16,3,4,1,8,5,2006,2006,2,15,15,5,178.0,2,3,3,2,3,3,1,24.0,6,0.0,1346.0,1370.0,1,1370,0,1370,0.0,0.0,2,0,2,2,6,1,1,2,2,2006.0,2,2.0,484.0,3,3,1,120,49,0,0,0,0,0,4,2010,1,1,
20,6,69.30579531442663,18494,2,1,2,1,9,3,1,1,6,5,2005,2005,2,15,15,0,0.0,2,3,3,2,3,4,6,0.0,6,0.0,1324.0,1324.0,1,1324,0,1324,0.0,0.0,2,0,3,2,6,1,0,0,2,2005.0,1,2.0,430.0,3,3,1,36,23,0,0,0,0,0,1,2010,1,1,
120,6,69.30579531442663,3203,1,1,1,1,1,3,4,1,7,5,2006,2006,2,15,15,2,14.0,2,3,3,2,3,2,1,16.0,6,0.0,1129.0,1145.0,1,1145,0,1145,0.0,0.0,2,0,2,2,6,1,0,0,2,2006.0,1,2.0,437.0,3,3,1,100,116,0,0,0,0,0,1,2010,1,1,
80,6,69.30579531442663,13300,2,1,1,1,9,3,1,6,7,5,2004,2004,2,15,15,0,0.0,2,3,3,2,3,4,1,326.0,6,0.0,58.0,384.0,1,744,630,1374,1.0,0.0,2,1,3,2,7,1,1,2,4,2004.0,1,2.0,400.0,3,3,1,100,0,0,0,0,0,0,6,2010,1,1,
60,6,69.30579531442663,8577,2,1,1,1,9,3,1,3,7,5,2004,2004,2,15,15,0,0.0,2,3,3,2,3,4,6,0.0,6,0.0,847.0,847.0,1,847,886,1733,0.0,0.0,2,1,3,2,7,1,1,2,4,2004.0,1,2.0,433.0,3,3,1,144,48,0,0,0,0,0,4,2010,1,1,
60,6,69.30579531442663,17433,3,1,3,1,14,3,1,3,8,5,1998,1998,4,15,15,2,114.0,2,3,3,1,3,4,6,0.0,6,0.0,1629.0,1629.0,1,1645,830,2475,0.0,0.0,2,1,4,2,7,1,1,3,2,1998.0,1,3.0,962.0,3,3,1,23,172,0,0,256,0,0,1,2010,1,1,
20,6,69.30579531442663,8987,1,1,1,1,22,3,1,1,8,5,2005,2006,2,15,15,2,226.0,2,3,3,2,3,0,6,0.0,6,0.0,1595.0,1595.0,1,1595,0,1595,0.0,0.0,2,0,2,2,6,1,1,2,2,2005.0,2,3.0,880.0,3,3,1,144,0,0,0,0,0,0,5,2010,1,1,
20,3,69.30579531442663,9215,1,1,1,1,22,3,1,1,7,5,2009,2010,4,15,15,0,0.0,2,3,3,2,3,4,6,0.0,6,0.0,1218.0,1218.0,1,1218,0,1218,0.0,0.0,2,0,2,2,4,1,0,0,2,2009.0,2,2.0,676.0,3,3,1,0,136,0,0,0,0,0,4,2010,4,6,
20,3,69.30579531442663,10440,1,1,2,1,22,3,1,1,6,5,2005,2005,2,15,15,0,0.0,2,3,3,1,3,4,1,1414.0,6,0.0,54.0,1468.0,1,1468,0,1468,1.0,0.0,2,0,2,2,6,1,1,2,2,2005.0,1,2.0,528.0,3,3,1,0,102,0,0,216,0,0,5,2010,1,1,
60,6,69.30579531442663,11920,1,1,1,1,21,3,1,3,7,5,2004,2004,2,15,15,2,122.0,2,3,3,2,3,2,6,0.0,6,0.0,831.0,831.0,1,831,828,1659,0.0,0.0,2,1,3,2,8,1,0,0,2,2004.0,2,2.0,484.0,3,3,1,144,68,0,0,0,0,0,4,2010,1,1,
30,5,69.30579531442663,9800,1,1,2,1,21,2,1,1,5,5,1920,1950,2,16,16,0,0.0,3,4,1,3,3,4,6,0.0,6,0.0,816.0,816.0,3,1012,0,1012,0.0,0.0,1,0,2,3,5,1,0,0,6,1920.0,3,1.0,429.0,3,3,1,121,0,80,0,0,0,0,4,2010,1,1,
20,6,69.30579531442663,15410,2,1,3,1,20,8,1,1,6,6,1974,2002,4,11,11,1,250.0,3,2,2,3,3,1,3,126.0,1,859.0,223.0,1208.0,1,1494,0,1494,1.0,0.0,2,0,3,3,7,1,2,4,2,1974.0,1,2.0,461.0,3,3,1,296,0,186,0,0,1,0,4,2010,1,2,
60,6,69.30579531442663,13143,2,1,1,1,14,3,1,3,8,5,1993,1993,2,7,8,2,504.0,2,3,3,2,3,4,5,250.0,1,981.0,0.0,1231.0,1,1251,1098,2349,1.0,0.0,2,1,4,2,9,1,1,3,2,1993.0,2,3.0,762.0,3,3,1,32,130,0,0,0,0,0,6,2010,1,1,
60,6,69.30579531442663,11134,1,1,1,1,14,3,1,3,8,5,1992,1993,2,7,7,2,180.0,2,3,3,2,3,4,1,1129.0,6,0.0,261.0,1390.0,1,1402,823,2225,1.0,0.0,2,1,4,2,7,1,1,3,2,1992.0,2,3.0,713.0,3,3,1,198,30,0,0,0,0,0,6,2010,1,1,
120,3,69.30579531442663,4835,2,1,3,1,22,3,4,1,7,5,2004,2005,2,9,9,0,0.0,2,3,3,1,3,2,1,1298.0,6,0.0,190.0,1488.0,1,1488,0,1488,1.0,0.0,2,0,2,2,6,1,1,2,2,2004.0,1,2.0,506.0,3,3,1,168,50,0,0,0,0,0,3,2010,1,1,
160,3,69.30579531442663,3515,1,1,1,1,22,3,4,3,7,5,2004,2004,2,15,15,0,0.0,2,3,3,2,3,4,6,0.0,6,0.0,840.0,840.0,1,840,840,1680,0.0,0.0,2,1,2,2,3,1,0,0,2,2004.0,2,2.0,588.0,3,3,1,0,111,0,0,0,0,0,1,2010,1,1,
160,3,69.30579531442663,3215,1,1,1,1,22,3,4,3,7,5,2004,2004,2,9,9,2,120.0,2,3,3,2,3,2,1,280.0,6,0.0,320.0,600.0,1,600,600,1200,0.0,0.0,2,1,2,2,4,1,0,0,6,2004.0,2,2.0,480.0,3,3,1,0,172,0,0,0,0,0,4,2010,9,1,
160,3,69.30579531442663,2544,1,1,1,1,22,3,5,3,7,5,2004,2005,2,9,9,0,0.0,2,3,3,2,3,4,1,368.0,2,42.0,190.0,600.0,1,600,600,1200,1.0,0.0,2,1,2,2,4,1,0,0,6,2004.0,2,2.0,480.0,3,3,1,0,172,0,0,0,0,0,2,2010,1,1,
160,3,69.30579531442663,2544,1,1,1,1,22,3,5,3,6,5,2005,2005,2,15,15,2,216.0,2,3,3,2,3,4,1,376.0,6,0.0,224.0,600.0,1,600,636,1236,1.0,0.0,2,1,2,2,4,1,0,0,6,2005.0,2,2.0,480.0,3,3,1,0,166,0,0,0,0,0,5,2010,1,1,
160,3,69.30579531442663,2980,1,1,2,1,22,3,4,3,6,5,2000,2000,2,9,9,2,1159.0,2,3,3,2,3,4,1,466.0,6,0.0,290.0,756.0,1,756,756,1512,1.0,0.0,2,1,2,2,5,1,0,0,6,2000.0,3,2.0,440.0,3,3,1,0,32,0,0,0,0,0,5,2010,1,1,
160,3,69.30579531442663,2403,2,1,4,1,22,3,4,3,7,5,2003,2003,2,15,15,0,0.0,2,3,3,2,3,4,1,244.0,6,0.0,286.0,530.0,1,530,550,1080,0.0,0.0,2,1,2,2,4,1,0,0,2,2003.0,2,2.0,496.0,3,3,1,0,50,0,0,0,0,0,6,2010,1,1,
20,3,69.30579531442663,12853,2,1,1,1,22,3,1,1,8,5,2010,2010,2,6,6,0,0.0,2,3,3,1,5,4,1,1032.0,6,0.0,610.0,1642.0,1,1418,0,1418,1.0,0.0,1,1,1,2,6,1,1,2,2,2010.0,2,3.0,852.0,3,3,1,160,192,0,224,0,0,0,4,2010,4,6,
60,3,69.30579531442663,7379,2,1,1,1,22,3,1,3,8,5,2000,2000,2,15,15,0,0.0,2,3,3,2,3,4,1,484.0,6,0.0,491.0,975.0,1,975,873,1848,1.0,0.0,2,1,3,2,7,1,1,3,2,2000.0,2,2.0,592.0,3,3,1,280,184,0,0,0,0,0,4,2010,1,1,
20,3,69.30579531442663,8000,1,1,1,1,22,3,1,1,7,5,2002,2002,2,15,15,0,0.0,2,3,3,2,3,4,1,833.0,6,0.0,659.0,1492.0,1,1492,0,1492,1.0,0.0,2,0,3,2,6,1,1,2,2,2002.0,2,2.0,596.0,3,3,1,277,137,0,0,0,0,0,4,2010,1,1,
20,6,69.30579531442663,10456,2,1,1,1,17,3,1,1,6,6,1967,1967,4,7,7,2,120.0,3,3,2,3,3,4,1,506.0,6,0.0,1323.0,1829.0,2,1829,0,1829,1.0,0.0,2,0,4,3,8,1,0,0,2,1967.0,2,2.0,535.0,3,3,1,0,76,0,0,0,0,0,5,2010,1,1,
60,6,69.30579531442663,10791,1,1,1,1,17,3,1,3,6,5,1993,1993,2,9,9,0,0.0,3,3,3,2,3,3,1,1137.0,6,0.0,143.0,1280.0,1,1280,1215,2495,1.0,0.0,2,1,4,2,9,1,1,3,2,1993.0,3,2.0,660.0,3,3,1,224,32,0,0,0,0,0,3,2010,1,1,
50,6,69.30579531442663,18837,2,1,1,1,17,3,1,2,6,5,1978,1978,2,9,9,0,0.0,3,3,3,2,3,3,2,687.0,5,46.0,491.0,1224.0,3,1287,604,1891,0.0,1.0,3,0,3,3,7,1,1,3,2,1978.0,2,2.0,678.0,3,3,1,0,69,0,0,0,0,0,4,2010,1,1,
60,6,69.30579531442663,9600,1,1,1,1,17,3,1,3,6,6,1971,1971,2,9,9,0,0.0,3,3,2,3,3,4,2,329.0,6,0.0,386.0,715.0,3,930,715,1645,0.0,0.0,1,2,4,3,7,1,0,0,2,1971.0,2,2.0,441.0,3,3,1,0,78,0,0,0,3,0,6,2010,1,1,
20,6,69.30579531442663,9600,1,1,1,1,13,3,1,1,5,5,1966,1966,4,15,15,2,172.0,3,3,2,3,3,4,4,698.0,6,0.0,534.0,1232.0,3,1232,0,1232,1.0,0.0,1,1,3,3,6,1,0,0,2,1966.0,2,2.0,490.0,3,3,1,0,224,0,0,0,0,0,4,2010,1,1,
20,6,69.30579531442663,9900,1,1,2,1,13,3,1,1,5,5,1966,1966,4,7,7,0,0.0,3,3,3,2,3,4,3,1059.0,6,0.0,150.0,1209.0,2,1209,0,1209,1.0,0.0,1,0,3,3,6,1,0,0,2,1966.0,2,2.0,504.0,3,3,1,0,0,120,0,0,0,0,4,2010,9,1,
20,6,69.30579531442663,9680,1,1,1,1,13,3,1,1,5,6,1967,1967,2,16,11,2,268.0,3,3,2,3,3,4,3,1010.0,6,0.0,500.0,1510.0,1,1510,0,1510,1.0,0.0,2,0,3,2,6,1,0,0,2,1967.0,2,2.0,517.0,3,3,1,0,40,0,0,204,1,0,4,2010,1,1,
80,6,69.30579531442663,10600,2,1,1,1,13,3,1,6,6,5,1964,1964,2,7,7,0,0.0,3,3,2,3,3,4,6,0.0,6,0.0,533.0,533.0,3,1131,644,1775,0.0,0.0,2,0,3,3,8,1,0,0,2,1964.0,3,2.0,480.0,3,3,1,0,172,0,0,0,0,0,5,2010,5,5,
90,6,69.30579531442663,13260,2,1,1,1,13,3,3,1,5,6,1962,2001,4,7,7,2,144.0,3,3,2,3,3,4,3,1500.0,6,0.0,228.0,1728.0,3,1728,0,1728,2.0,0.0,2,0,6,3,10,1,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,2010,10,2,
50,6,69.30579531442663,9724,1,1,1,1,13,3,1,2,5,7,1952,2002,2,9,9,2,265.0,2,3,2,3,3,4,5,670.0,6,0.0,470.0,1140.0,2,1929,532,2461,0.0,0.0,2,0,3,3,7,3,2,2,6,1994.0,3,2.0,400.0,3,3,1,0,0,0,0,0,3,0,3,2010,1,1,
50,6,69.30579531442663,17360,1,1,2,1,13,1,1,2,6,6,1949,1950,2,9,9,5,340.0,3,2,2,3,3,4,4,300.0,6,0.0,482.0,782.0,3,1019,537,1556,0.0,0.0,2,0,3,3,6,1,1,2,2,1949.0,3,2.0,470.0,3,3,1,0,0,150,0,0,0,0,1,2010,1,1,
85,6,69.30579531442663,11380,2,1,1,1,13,3,1,5,6,8,1966,2008,2,7,7,2,216.0,3,3,2,3,3,1,1,944.0,6,0.0,136.0,1080.0,2,1128,0,1128,1.0,0.0,1,0,2,2,5,1,1,2,2,1966.0,3,1.0,315.0,3,3,1,238,0,0,0,0,0,4,1,2010,1,1,
90,6,69.30579531442663,8267,1,1,2,1,13,2,3,1,5,5,1958,1958,2,7,7,0,0.0,3,3,2,3,3,4,6,0.0,6,0.0,1604.0,1604.0,3,1604,0,1604,0.0,0.0,2,0,4,3,8,1,0,0,2,1958.0,3,2.0,576.0,3,3,1,42,0,0,0,0,0,0,3,2010,1,1,
20,6,69.30579531442663,8197,1,1,1,1,13,3,1,1,7,5,2003,2009,2,15,15,2,506.0,2,3,3,2,3,4,1,1188.0,6,0.0,292.0,1480.0,1,1480,0,1480,1.0,0.0,2,0,3,2,7,1,0,0,2,2003.0,2,2.0,620.0,3,3,1,252,73,0,0,0,2,4,2,2010,1,1,
20,6,69.30579531442663,8050,2,1,1,1,13,3,1,1,5,5,1959,1959,4,9,9,2,150.0,3,3,2,3,3,4,3,856.0,4,162.0,125.0,1143.0,3,1143,0,1143,1.0,0.0,1,0,3,3,6,1,0,0,2,1959.0,2,1.0,308.0,3,3,1,0,0,0,0,0,1,0,5,2010,1,1,
20,6,69.30579531442663,10725,2,1,1,1,13,3,1,1,5,5,1959,1959,4,9,9,2,91.0,3,3,2,3,3,4,4,936.0,6,0.0,270.0,1206.0,4,1206,0,1206,0.0,0.0,1,0,3,3,6,1,0,0,2,1959.0,2,1.0,312.0,3,3,1,0,21,0,0,0,0,0,5,2010,1,1,
20,6,69.30579531442663,10032,1,1,1,1,13,3,1,1,6,5,1959,1959,2,16,16,5,432.0,3,3,2,3,3,4,4,734.0,6,0.0,510.0,1244.0,1,1580,0,1580,1.0,0.0,1,1,3,3,6,1,2,2,2,1956.0,3,2.0,440.0,3,3,1,0,28,0,0,160,3,0,6,2010,1,1,
50,6,69.30579531442663,8382,1,1,1,1,13,3,1,2,4,5,1956,1956,2,9,9,0,0.0,3,3,2,3,3,4,6,0.0,6,0.0,832.0,832.0,3,832,505,1337,0.0,0.0,1,0,3,3,5,1,0,0,2,1956.0,3,1.0,263.0,3,3,1,0,0,0,0,0,0,0,2,2010,1,1,
20,6,69.30579531442663,10950,1,1,1,1,13,3,1,1,5,7,1952,1952,2,17,16,0,0.0,3,3,2,3,3,4,3,339.0,6,0.0,525.0,864.0,3,1064,0,1064,0.0,1.0,1,0,2,4,4,1,0,0,6,1952.0,3,1.0,318.0,3,3,1,0,0,0,0,0,0,0,5,2010,1,1,
20,6,69.30579531442663,10895,1,1,2,1,13,3,1,1,5,6,1955,1955,2,9,9,0,0.0,3,2,2,3,3,4,4,648.0,6,0.0,324.0,972.0,3,972,0,972,0.0,0.0,1,0,3,3,5,1,0,0,2,1955.0,3,1.0,305.0,3,3,1,0,0,205,0,0,3,0,6,2010,1,1,
190,6,69.30579531442663,13587,1,1,1,1,13,3,2,1,5,5,1958,1958,2,9,9,0,0.0,3,3,2,3,3,2,4,532.0,6,0.0,456.0,988.0,3,988,0,988,1.0,0.0,1,0,2,3,5,1,0,0,2,1958.0,3,1.0,264.0,3,3,1,0,0,0,0,0,0,0,4,2010,1,2,
30,6,69.30579531442663,7898,1,1,2,1,13,3,1,1,4,7,1920,1994,2,9,9,0,0.0,3,3,1,3,3,4,6,0.0,6,0.0,576.0,576.0,2,985,0,985,0.0,1.0,1,0,2,3,4,1,0,0,6,1989.0,3,2.0,676.0,3,3,3,0,0,0,0,0,0,0,4,2010,1,1,
50,6,69.30579531442663,8064,1,1,1,1,13,1,1,2,6,8,1948,2004,2,17,16,0,0.0,3,3,2,3,3,4,2,481.0,4,174.0,161.0,816.0,3,816,408,1224,1.0,0.0,1,0,3,3,5,1,0,0,6,1950.0,3,1.0,280.0,3,3,1,414,0,0,0,0,3,0,5,2010,1,1,
20,6,69.30579531442663,7635,2,1,2,1,13,3,1,1,5,6,1960,1960,2,4,16,0,0.0,3,3,2,3,3,4,4,588.0,5,350.0,237.0,1175.0,1,1175,0,1175,0.0,0.0,1,1,3,3,6,1,0,0,6,1960.0,2,2.0,484.0,3,3,1,0,0,0,0,0,0,0,6,2010,1,1,
20,6,69.30579531442663,9760,1,1,1,2,13,3,1,1,6,7,1963,1984,4,16,16,2,218.0,3,3,2,3,3,1,3,717.0,5,263.0,415.0,1395.0,3,1395,0,1395,1.0,0.0,1,0,2,3,7,2,1,3,2,1963.0,2,2.0,440.0,3,3,1,657,0,113,0,240,0,0,5,2010,1,1,
50,8,69.30579531442663,4800,1,1,2,1,18,3,1,2,4,5,1900,1954,4,16,16,2,771.0,3,3,3,3,3,4,2,48.0,6,0.0,661.0,709.0,3,1157,687,1844,1.0,0.0,1,0,3,3,9,3,2,2,3,1900.0,3,1.0,240.0,3,3,1,84,0,0,0,0,0,0,1,2010,5,2,
30,8,69.30579531442663,4485,1,1,1,1,18,1,1,1,5,7,1920,1950,2,16,16,0,0.0,3,3,3,3,3,4,3,579.0,6,0.0,357.0,936.0,3,936,0,936,1.0,0.0,1,0,2,3,5,1,1,2,0,0,0,0.0,0.0,0,0,2,51,0,135,0,0,2,0,5,2010,1,1,
20,8,69.30579531442663,5805,1,2,1,2,18,3,1,1,5,7,1957,1957,4,9,9,0,0.0,3,3,2,3,3,3,3,274.0,4,1073.0,0.0,1347.0,2,1347,0,1347,1.0,1.0,1,0,3,2,6,1,0,0,6,1957.0,3,2.0,551.0,3,3,1,0,0,0,0,0,0,0,6,2010,1,1,
45,8,69.30579531442663,6900,1,1,2,1,18,3,1,2,6,7,1938,2000,2,9,9,0,0.0,3,3,3,2,3,4,6,0.0,6,0.0,827.0,827.0,2,827,424,1251,0.0,0.0,1,0,3,4,6,1,0,0,6,1938.0,3,1.0,240.0,4,3,3,0,0,0,0,0,0,0,1,2010,1,1,
50,8,69.30579531442663,11851,1,1,1,1,18,1,1,2,5,7,1948,2009,2,15,15,0,0.0,3,2,1,3,3,4,3,780.0,6,0.0,247.0,1027.0,1,1027,606,1633,0.0,0.0,1,0,3,2,7,1,1,2,6,1948.0,3,1.0,240.0,3,3,1,0,100,126,0,0,0,0,6,2010,1,1,
50,8,69.30579531442663,8239,1,1,1,1,18,1,1,2,5,6,1920,1962,2,9,9,0,0.0,3,3,1,3,3,4,4,176.0,6,0.0,832.0,1008.0,3,1060,185,1245,0.0,0.0,1,0,3,3,6,1,0,0,6,1962.0,3,1.0,315.0,3,3,1,0,0,334,0,0,0,0,3,2010,1,1,
30,8,69.30579531442663,9656,1,1,1,1,18,3,1,1,2,2,1923,1970,2,1,1,0,0.0,3,4,1,4,4,4,6,0.0,6,0.0,678.0,678.0,3,832,0,832,0.0,0.0,1,0,2,3,5,1,1,2,6,1928.0,3,2.0,780.0,4,4,3,0,0,0,0,0,0,0,6,2010,1,2,
70,8,69.30579531442663,9600,1,1,2,1,18,3,1,3,8,9,1900,2003,2,16,16,0,0.0,2,2,1,3,3,4,6,0.0,6,0.0,930.0,930.0,3,930,636,1566,0.0,0.0,2,0,3,2,7,1,0,0,6,1930.0,3,1.0,288.0,3,3,1,54,228,246,0,0,0,0,4,2010,1,2,
